NOTE: Annotations and predictions are separated with three blanks if annotations take up more than 75 characters
      Annotations/predictions are separated from other annotations/predictions by semi-colon

PREDICTIONS OF LABELLED DATA

GENE           ANNOTATION                                                                 PREDICTIONS

AB000220       GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006468: protein phosphorylation;GO:0007242: intracellular signaling cascade;GO:0006411: protein metabolism and modification;
AB002409       GO:0006955: immune response;GO:0006928: cell motility;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006928: cell motility;
AF000424       GO:0006955: immune response;                                               GO:0006955: immune response;GO:0008283: cell proliferation;
D00749         GO:0006955: immune response;GO:0006810: transport;                         GO:0006955: immune response;GO:0006810: transport;
D10202         GO:0006955: immune response;GO:0006959: humoral defense mechanism;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007582: physiological processes;   GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;GO:0006928: cell motility;GO:0006959: humoral defense mechanism;
D10925         GO:0006955: immune response;GO:0007601: vision;GO:0006928: cell motility;GO:0007582: physiological processes;GO:0007155: cell adhesion;GO:0007602: phototransduction;GO:0007267: cell-cell signaling;GO:0007166: cell surface receptor linked signal transduction;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007602: phototransduction;GO:0007155: cell adhesion;GO:0007582: physiological processes;GO:0006928: cell motility;GO:0007601: vision;
D11086         GO:0006955: immune response;GO:0006411: protein metabolism and modification;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006411: protein metabolism and modification;
D13637         GO:0006955: immune response;                                               GO:0006955: immune response;
D13720         GO:0006955: immune response;                                               GO:0006955: immune response;
D14043         GO:0006955: immune response;GO:0007155: cell adhesion;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007155: cell adhesion;
D15050         GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;
D28118         GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;GO:0006955: immune response;GO:0006366: transcription from Pol II promoter;
D49372         GO:0006955: immune response;GO:0006411: protein metabolism and modification;GO:0006928: cell motility;GO:0007155: cell adhesion;GO:0007267: cell-cell signaling;GO:0006468: protein phosphorylation;   
D49950         GO:0006955: immune response;GO:0007267: cell-cell signaling;               GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0006411: protein metabolism and modification;
D84239         GO:0006955: immune response;                                               GO:0006955: immune response;
D90064         GO:0006955: immune response;                                               GO:0006955: immune response;
J03027         GO:0006955: immune response;                                               GO:0006955: immune response;
J03507         GO:0006955: immune response;                                               GO:0006955: immune response;
J04101         GO:0006955: immune response;GO:0007048: oncogenesis;GO:0006366: transcription from Pol II promoter;GO:0008283: cell proliferation;   GO:0006955: immune response;GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;
J04130         GO:0006955: immune response;GO:0006928: cell motility;GO:0007155: cell adhesion;GO:0007267: cell-cell signaling;   GO:0006955: immune response;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006928: cell motility;
J04132         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
J04168         GO:0006955: immune response;GO:0006928: cell motility;GO:0007155: cell adhesion;   GO:0006955: immune response;GO:0007155: cell adhesion;GO:0006928: cell motility;
J04739         GO:0006955: immune response;                                               GO:0006955: immune response;GO:0006259: DNA metabolism;
